,NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP_x,PRO_OCUP_C_x,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,TVIVHAB,GRAPROES_x,PDER_SS,VIVPAR_HAB,VIVPARH_CV,PROM_OCUP_y,PRO_OCUP_C_y,GRAPROES_y,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,P15YM_AN_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,PHOGJEF_F_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,PDER_SS_%,TVIVHAB_%,GRAPROES_x_%,PROM_OCUP_x_%,RO_CRIEVA_%,PRO_OCUP_C_x_%
10,Coatzacoalcos,355738,184944,170794,13766,17599,31702,15608,15979,244989,48515,68527,36844,8126,21819,10306,115826,169277,73915,95362,6305,73852,151286,71867,2191,202114,92417,329,59778,111965,40676,354109,120864,148923,9.71,3.02,43005,110833,107612,62417,9633,110750,110363,103142,91799,8103,101858,42229,103585,62981,20527,111988,28.77,280946,105475,111704,3.236666666666667,1.0066666666666666,9.59,52.0,48.0,3.9,4.9,8.9,4.4,4.5,68.9,13.6,19.3,10.4,8126,6.1,2.9,32.6,47.6,43.7,56.3,1.8,20.8,53.8,25.6,0.8,56.8,26.0,0.1,16.8,36.3,34.1,38.5,99.2,96.3,55.9,8.6,99.1,98.8,92.3,82.2,7.3,91.2,37.8,92.7,56.4,18.4,79.0,100.0,28.77,9.71,92417,3.02
11,Colima-Villa de álvarez,230813,117552,113261,8398,9653,21333,10860,11310,154244,36295,51928,27006,10035,14681,5316,70285,117984,50753,67231,1959,40890,109126,58327,4206,200481,14088,274,14968,72163,25446,228770,74804,93030,13.22,3.82,23064,71332,71208,55692,22149,71212,71356,67272,54825,9850,66200,30468,65050,45141,14571,72273,37.620000000000005,189097,70624,72014,3.305,0.955,9.405,50.9,49.1,3.6,4.2,9.2,4.7,4.9,66.8,15.7,22.5,11.7,10035,6.4,2.3,30.5,51.1,43.0,57.0,0.8,17.7,57.7,30.8,2.2,86.9,6.1,0.1,6.5,35.3,32.7,32.0,99.1,98.9,77.3,30.8,98.9,99.1,93.4,76.1,13.7,91.9,42.3,90.3,62.7,20.2,81.9,100.2,37.620000000000005,13.22,14088,3.82
12,Cuautla,483455,249486,233969,21427,24072,49615,25272,25580,318542,64440,118914,62976,19577,27155,18167,136906,245365,105929,139436,4072,146155,130900,159888,3407,334260,74778,708,73032,134740,46754,481547,155996,210803,21.8,6.24,48545,133482,126215,102206,61869,130386,131867,119163,86335,34852,122551,43179,120346,65195,15457,134796,55.64,336803,132168,134254,3.633333333333333,1.04,9.273333333333332,51.6,48.4,4.4,5.0,10.3,5.2,5.3,65.9,13.3,24.6,13.0,19577,5.6,3.8,28.3,50.8,43.2,56.8,0.8,30.2,38.9,47.5,1.0,69.1,15.5,0.1,15.1,34.7,32.4,36.2,99.4,94.0,76.1,46.1,97.1,98.2,88.8,64.3,26.0,91.3,32.2,89.6,48.6,11.5,69.7,100.0,55.64,21.8,74778,6.24
13,Cuernavaca,1028589,534494,494095,40227,46743,94969,49614,50333,695112,147097,315386,170301,46683,55382,26709,299046,531419,238522,292897,13156,299769,400646,230084,18337,721333,142040,2500,160508,299189,108778,1023035,345840,434178,27.94,7.76,90060,297471,290243,249576,149820,294515,295517,277638,207407,35879,275474,131189,273041,190811,66334,299362,79.06,727147,279091,298538,3.4925,0.97,9.8825,52.0,48.0,3.9,4.5,9.2,4.8,4.9,67.6,14.3,30.7,16.6,46683,5.4,2.6,29.1,51.7,44.9,55.1,1.3,29.1,55.1,31.6,2.5,70.1,13.8,0.2,15.6,36.4,33.8,30.2,99.6,97.2,83.6,50.2,98.7,99.0,93.0,69.5,12.0,92.3,43.9,91.5,63.9,22.2,70.7,100.1,79.06,27.94,142040,7.76
14,Culiacán,1003530,512484,491046,46505,49512,100904,51122,50846,678895,111713,93551,47384,23561,41959,19539,294747,498256,214159,284097,6742,202978,557343,130547,17763,793717,81727,607,124543,281567,104712,991401,350864,340656,3.52,0.95,70537,280185,278202,143263,6212,276096,277566,274238,231364,37330,268037,137551,267476,175867,76748,281726,11.06,797932,270235,281246,3.52,0.95,11.06,51.1,48.9,4.6,4.9,10.1,5.1,5.1,67.7,11.1,9.3,4.7,23561,4.2,1.9,29.4,49.7,43.0,57.0,0.7,20.2,69.8,16.4,2.2,79.1,8.1,0.1,12.4,37.2,35.4,25.1,99.6,98.9,50.9,2.2,98.2,98.7,97.5,82.3,13.3,95.3,48.9,95.1,62.5,27.3,79.5,100.1,11.06,3.52,81727,0.95
15,Córdoba,335950,177549,158401,13099,15662,32335,16360,16632,225859,46895,23835,13075,5003,16071,10939,102977,168505,73807,94698,2760,107890,150843,58053,5739,287397,30470,383,17478,100742,37658,334502,115160,126413,13.31,3.64,35374,99869,96117,72418,14340,98064,99372,87477,67144,7480,92102,35230,88868,54943,15772,100777,36.65,227924,97883,100603,3.3275,0.91,9.1625,52.8,47.2,3.9,4.7,9.6,4.9,5.0,67.2,14.0,7.1,3.9,5003,4.8,3.3,30.7,50.2,43.8,56.2,0.8,32.1,66.2,25.5,2.5,85.5,9.1,0.1,5.2,37.4,34.4,35.2,99.3,95.5,72.0,14.3,97.5,98.8,87.0,66.7,7.4,91.5,35.0,88.3,54.6,15.7,67.8,100.0,36.65,13.31,30470,3.64
16,Delicias,195359,99151,96208,9026,9925,19983,10279,9802,128978,25158,16930,8347,3124,9272,3024,60131,93948,39177,54771,2006,26683,115405,31958,3599,153090,20734,141,21050,61516,21901,195035,65392,74923,6.38,1.57,18368,61222,61161,19781,1092,61063,61156,59890,55316,13403,59153,24076,57635,34314,13769,61544,18.98,168506,60009,61400,3.19,0.785,9.489999999999998,50.8,49.2,4.6,5.1,10.2,5.3,5.0,66.0,12.9,8.7,4.3,3124,4.7,1.5,30.8,48.1,41.7,58.3,1.0,13.7,68.5,19.0,2.1,78.4,10.6,0.1,10.8,35.6,33.5,29.9,99.7,99.6,32.2,1.8,99.5,99.6,97.5,90.1,21.8,96.3,39.2,93.9,55.9,22.4,86.3,100.0,18.98,6.38,20734,1.57
17,Durango,688697,353285,335412,31927,37947,75830,35765,36136,454946,75853,53906,27013,15557,38618,7080,204076,327143,140996,186147,8340,173476,302609,98551,7195,573001,59370,752,52716,186768,67773,683730,232395,224232,3.66,0.85,38612,185488,184775,162364,67250,182200,183670,176214,149114,45496,179186,85610,173659,107117,43799,186870,10.74,512753,178292,186650,3.66,0.85,10.74,51.3,48.7,4.6,5.5,11.0,5.2,5.2,66.1,11.0,7.8,3.9,15557,5.6,1.0,29.6,47.5,43.1,56.9,1.2,25.2,59.0,19.2,1.4,83.2,8.6,0.1,7.7,36.3,34.0,20.7,99.4,99.0,87.0,36.0,97.6,98.4,94.4,79.9,24.4,96.0,45.9,93.0,57.4,23.5,74.5,100.1,10.74,3.66,59370,0.85
18,Ensenada,443807,222500,221307,18918,21114,42133,21509,20882,304500,53463,159809,80717,24414,20367,7752,127562,228454,96410,132044,3106,77808,203713,105448,9994,253458,86307,604,102020,139850,47568,440625,141836,171203,3.15,0.86,43494,136311,132593,55127,10326,128536,131315,128859,111627,19231,127369,68939,131092,92742,45288,139968,10.34,363941,133229,138858,3.15,0.86,10.34,50.1,49.9,4.3,4.8,9.5,4.8,4.7,68.6,12.0,36.0,18.2,24414,4.6,1.7,28.7,51.5,42.2,57.8,0.7,17.5,56.0,29.0,2.7,57.1,19.4,0.1,23.0,34.0,32.2,31.3,98.2,95.5,39.7,7.4,92.6,94.6,92.8,80.4,13.8,91.7,49.6,94.4,66.8,32.6,82.0,100.1,10.34,3.15,86307,0.86
19,Guadalajara,5268642,2684675,2583967,225751,263395,516733,260165,262968,3550317,600017,713917,364412,125158,225863,71309,1436893,2715118,1170220,1544898,41230,1578536,2985136,324254,201856,4615204,278096,7411,307570,1483691,519305,5241338,1723175,1799585,35.83,9.95,326609,1466465,1462381,1114365,660099,1464842,1464641,1415828,1241434,345534,1416217,753925,1384577,1021204,457531,1484581,96.59,3632630,1378768,1482403,3.583,0.995,9.659,51.0,49.0,4.3,5.0,9.8,4.9,5.0,67.4,11.4,13.6,6.9,125158,4.3,1.4,27.3,51.5,43.1,56.9,0.8,30.0,82.2,8.9,5.6,87.6,5.3,0.1,5.8,35.0,32.9,22.0,98.9,98.6,75.2,44.5,98.8,98.8,95.5,83.7,23.3,95.5,50.9,93.4,68.9,30.9,68.9,100.1,96.59,35.83,278096,9.95
20,Guanajuato,194500,100462,94038,9462,10214,19242,9719,9488,132066,20789,11816,6115,2676,7940,4821,59323,93436,40021,53415,2317,27808,66668,59389,5880,176707,6243,186,10818,51675,18768,193690,65105,63114,3.75,0.91,12292,51321,49641,46778,6064,49893,50011,48561,42650,5158,48522,25168,46529,31336,11362,51688,10.46,166385,49788,51639,3.75,0.91,10.46,51.7,48.3,4.9,5.3,9.9,5.0,4.9,67.9,10.7,6.1,3.1,2676,4.1,2.5,30.5,48.0,42.8,57.2,1.2,14.3,40.1,35.7,3.5,90.9,3.2,0.1,5.6,36.3,33.6,23.8,99.4,96.1,90.6,11.7,96.6,96.8,94.0,82.6,10.0,94.0,48.7,90.1,60.7,22.0,85.5,100.0,10.46,3.75,6243,0.91
21,Guaymas,208294,104339,103955,9504,10550,20942,10523,10411,138443,27786,26315,12702,4787,11105,3572,65269,98749,40716,58033,1681,32990,124535,29655,3229,159601,22093,85,26113,61900,22795,206157,73894,79927,6.71,1.84,20943,61114,60885,41614,10370,54343,56481,56997,44170,11072,57492,25501,56416,35534,13083,61943,19.7,175064,60750,61794,3.355,0.92,9.85,50.1,49.9,4.6,5.1,10.1,5.1,5.0,66.5,13.3,12.6,6.1,4787,5.3,1.7,31.3,47.4,41.2,58.8,0.8,15.8,71.1,16.9,1.8,76.6,10.6,0.0,12.5,36.8,35.8,33.9,98.9,98.5,67.3,16.8,87.9,91.4,92.2,71.5,17.9,93.0,41.3,91.3,57.5,21.2,84.0,100.1,19.7,6.71,22093,1.84
22,Hermosillo,936263,468773,467490,35876,43782,93320,47793,46163,646237,104402,115327,54830,23472,41409,10245,274767,471237,199063,272174,9322,166919,520283,94217,44721,733294,97158,610,101403,278550,97515,927042,307083,326410,3.33,0.83,75129,276314,275869,161778,19419,272391,274278,267153,222725,38120,261060,149299,264173,195823,92020,278712,11.3,766406,260719,278209,3.33,0.83,11.3,50.1,49.9,3.8,4.7,10.0,5.1,4.9,69.0,11.2,12.3,5.9,23472,4.4,1.1,29.3,50.3,42.2,57.8,1.0,17.8,67.9,12.3,5.8,78.3,10.4,0.1,10.8,35.0,33.1,27.0,99.3,99.2,58.1,7.0,97.9,98.6,96.0,80.1,13.7,93.8,53.7,95.0,70.4,33.1,81.9,100.1,11.3,3.33,97158,0.83
23,Hidalgo del Parral,121666,62935,58731,5631,6349,12379,6099,6053,79848,16411,10768,5559,2517,6563,1617,40745,54906,22461,32445,1359,14073,61589,28473,2164,96256,12959,38,12190,35970,12962,121201,40172,43378,6.59,1.48,9119,35768,35713,33292,3224,35650,35674,34731,31098,2016,34305,16041,33277,21512,7587,35989,19.92,107425,35404,35932,3.295,0.74,9.96,51.7,48.3,4.6,5.2,10.2,5.0,5.0,65.6,13.5,8.9,4.6,2517,5.4,1.3,33.5,45.1,40.9,59.1,1.1,11.6,57.3,26.5,2.0,79.1,10.7,0.0,10.0,36.0,33.1,25.4,99.5,99.4,92.7,9.0,99.2,99.3,96.7,86.5,5.6,95.5,44.6,92.6,59.9,21.1,88.3,100.1,19.92,6.59,12959,1.48
24,Juárez,1512450,755473,756977,61661,75783,158006,84852,82775,1042232,134989,410142,205031,58446,64510,15008,424859,773941,321981,451960,11113,281293,995662,111663,53709,990518,217017,1606,295236,449452,152263,1505714,492203,520392,3.35,0.87,131922,447215,445394,21983,4210,445733,446184,436106,395092,42892,433849,203599,422130,286079,121797,449602,10.18,1225002,430766,449167,3.35,0.87,10.18,50.0,50.0,4.1,5.0,10.4,5.6,5.5,68.9,8.9,27.1,13.6,58446,4.3,1.0,28.1,51.2,41.6,58.4,0.7,18.6,81.3,9.1,4.4,65.5,14.3,0.1,19.5,33.9,32.7,29.4,99.6,99.2,4.9,0.9,99.2,99.3,97.1,88.0,9.5,96.6,45.3,94.0,63.7,27.1,81.0,100.0,10.18,3.35,217017,0.87
25,La Laguna,1061533,541015,520518,51738,56452,108643,53807,54601,706439,124856,148207,77738,28484,49675,13100,326074,502990,208623,294367,11539,239598,641462,69735,30885,837258,126840,911,93534,306850,98532,1058568,311985,373099,14.48,3.7,72321,305647,304743,205085,62330,302235,302895,295647,256887,79876,296521,126598,281633,173557,68088,306969,39.63,819576,290786,306655,3.62,0.925,9.9075,51.0,49.0,4.9,5.3,10.2,5.1,5.1,66.5,11.8,14.0,7.3,28484,4.7,1.2,30.7,47.4,41.5,58.5,1.1,22.6,78.3,8.5,3.8,78.9,11.9,0.1,8.8,32.1,29.5,23.6,99.7,99.4,66.9,20.3,98.6,98.8,96.4,83.8,26.0,96.7,41.3,91.8,56.6,22.2,77.2,100.0,39.63,14.48,126840,3.7
26,La Paz,292241,146438,145803,10882,12776,26992,13547,14005,203031,37267,79830,39528,15230,15395,4043,84914,152265,64678,87587,2565,41161,133165,51140,5587,228451,27537,512,34262,91287,31036,290063,91547,116231,3.18,0.86,25232,89585,88540,81226,25704,88640,89503,85904,68316,11036,84222,49535,86795,63033,30943,91366,11.07,249591,86927,91038,3.18,0.86,11.07,50.1,49.9,3.7,4.4,9.2,4.6,4.8,69.5,12.8,27.3,13.5,15230,5.3,1.4,29.1,52.1,42.5,57.5,0.9,14.1,53.4,20.5,2.2,78.2,9.4,0.2,11.7,34.0,31.6,27.7,98.4,97.3,89.2,28.2,97.4,98.3,94.4,75.0,12.1,92.5,54.4,95.3,69.2,34.0,85.4,100.1,11.07,3.18,27537,0.86
27,La Piedad-Pénjamo,261450,135552,125898,13424,14176,27963,13519,13448,167182,35000,35425,18634,4038,17014,13217,82847,120261,46469,73792,1970,65042,71916,107152,1748,237812,13955,105,9325,69166,23090,260418,79971,93810,7.48,2.02,19452,68702,67785,56475,21345,65379,65585,64038,53593,14327,64840,19680,57037,27785,6666,69189,16.73,196240,68629,69072,3.74,1.01,8.365,51.8,48.2,5.1,5.4,10.7,5.2,5.1,63.9,13.4,13.5,7.1,4038,6.5,5.1,31.7,46.0,38.6,61.4,0.8,24.9,36.6,54.6,0.9,91.0,5.3,0.0,3.6,33.4,30.7,28.2,99.5,98.1,81.8,30.9,94.7,95.0,92.7,77.6,20.7,93.9,28.5,82.6,40.2,9.7,75.1,100.0,16.73,7.48,13955,2.02
28,León,1924771,978025,946746,96999,104979,203072,102200,103946,1292529,183913,184912,93035,39690,84613,50028,516850,974718,406556,568162,19318,410959,1010672,379913,46018,1740550,77941,2408,95689,487264,153418,1919833,573078,568823,8.26,2.17,104853,484158,467189,401285,168946,481015,480517,455411,411298,156482,465899,206228,445102,279724,108557,487495,18.43,1507068,469931,486742,4.13,1.085,9.215,50.8,49.2,5.0,5.5,10.6,5.3,5.4,67.2,9.6,9.6,4.8,39690,4.4,2.6,26.9,50.6,41.7,58.3,1.0,21.4,67.1,25.2,3.1,90.4,4.0,0.1,5.0,31.5,29.9,21.5,99.5,96.0,82.4,34.7,98.8,98.7,93.6,84.5,32.1,95.7,42.4,91.4,57.5,22.3,78.3,100.0,18.43,8.26,77941,2.17
29,Matamoros,541979,274081,267898,24460,28314,56263,28433,27941,368765,54690,110918,58090,12125,27446,8837,157450,267394,110611,156783,6627,131752,289064,81988,9370,336538,112136,358,91827,159564,51092,540093,161483,195499,3.38,0.96,52212,157814,155372,58905,19331,151909,152821,149691,110681,27289,149471,55715,148769,90738,30233,159609,9.92,409313,150362,159373,3.38,0.96,9.92,50.6,49.4,4.5,5.2,10.4,5.2,5.2,68.0,10.1,20.5,10.7,12125,5.1,1.6,29.1,49.3,41.4,58.6,1.2,24.3,70.6,20.0,2.3,62.1,20.7,0.1,16.9,32.0,29.9,32.8,99.0,97.5,37.0,12.1,95.3,95.9,93.9,69.4,17.1,93.8,35.0,93.3,56.9,19.0,75.5,100.0,9.92,3.38,112136,0.96
30,Mazatlán,501441,256060,245381,21023,22246,47651,24814,24500,341005,66475,73935,37515,19070,23927,7183,152583,252587,108450,144137,3958,99672,275858,61086,11843,385129,49129,512,65723,152884,55536,498785,171635,196436,3.26,0.92,50381,152024,151470,101316,22309,150855,151270,146344,120231,32320,144485,70136,141733,96531,40143,152976,10.83,401328,149700,152601,3.26,0.92,10.83,51.1,48.9,4.2,4.4,9.5,4.9,4.9,68.0,13.3,14.7,7.5,19070,4.8,1.4,30.4,50.4,42.9,57.1,0.8,19.9,68.7,15.2,3.0,76.8,9.8,0.1,13.1,36.3,34.4,33.0,99.6,99.3,66.4,14.6,98.9,99.1,95.9,78.8,21.2,94.7,46.0,92.9,63.3,26.3,80.0,100.1,10.83,3.26,49129,0.92
31,Mexicali,1049792,520544,529248,37394,45624,99545,51804,51325,734081,122934,302068,151904,32856,44519,13134,311290,540835,222980,317855,7949,190666,576267,142247,41859,692341,148322,1095,203845,330356,103068,1042395,304079,385642,3.16,0.83,93960,326832,326350,5467,2303,315458,317589,319303,289682,67648,313757,166799,309193,226594,110551,330500,10.53,854633,311321,329356,3.16,0.83,10.53,49.6,50.4,3.6,4.3,9.5,4.9,4.9,69.9,11.7,28.8,14.5,32856,4.2,1.3,29.7,51.5,41.2,58.8,0.8,18.2,67.4,16.6,4.9,66.0,14.1,0.1,19.4,31.2,29.2,28.5,99.2,99.1,1.7,0.7,95.8,96.4,96.9,88.0,20.5,95.3,50.6,93.9,68.8,33.6,81.4,100.0,10.53,3.16,148322,0.83
32,Minatitlán,359228,188610,170618,13525,17554,34808,17517,18024,241312,50586,36672,19683,6849,21916,17119,119881,167380,71044,96336,5261,97509,103977,103629,1423,208209,94494,323,55884,111235,38352,359136,112526,139303,19.94,6.609999999999999,47316,109656,97489,47347,8837,108368,108845,95748,80882,13335,94944,30479,95750,47793,12469,111245,51.71,261494,105225,110958,3.3233333333333337,1.1016666666666666,8.618333333333334,52.5,47.5,3.8,4.9,9.7,4.9,5.0,67.2,14.1,10.2,5.5,6849,6.1,4.8,33.4,46.6,42.4,57.6,1.5,27.1,39.8,39.6,0.5,58.0,26.3,0.1,15.6,34.5,31.3,42.6,98.8,87.9,42.7,8.0,97.7,98.1,86.3,72.9,12.0,85.6,27.5,86.3,43.1,11.2,72.8,100.0,51.71,19.94,94494,6.609999999999999
33,Monclova-Frontera,345119,173577,171542,17191,19459,35025,16923,16633,227796,43569,20935,10315,3060,17029,3275,117538,150106,57934,92172,5097,53878,251699,17393,4450,241553,53584,170,49189,100874,24400,344899,73031,114656,10.17,2.37,27322,100409,100104,79182,15529,99591,99999,98739,88853,17610,97296,40665,92559,60791,20834,100904,31.08,290649,95684,100765,3.39,0.79,10.36,50.3,49.7,5.0,5.6,10.1,4.9,4.8,66.0,12.6,6.1,3.0,3060,4.9,0.9,34.1,43.5,38.6,61.4,1.5,15.6,86.6,6.0,1.5,70.0,15.5,0.0,14.3,24.2,21.2,27.1,99.6,99.3,78.6,15.4,98.8,99.2,98.0,88.2,17.5,96.6,40.4,91.9,60.3,20.7,84.2,100.0,31.08,10.17,53584,2.37
34,Monterrey,5341177,2671686,2669491,238040,271721,508476,251268,250658,3667264,585321,1265248,633974,268335,196328,51184,1621013,2615919,1031427,1584492,51438,1016652,3435684,373515,321328,4147820,628617,4939,526148,1522975,415892,5327136,1342743,1836943,62.48,16.44,352344,1515133,1511810,206290,37301,1512336,1513225,1471433,1328378,155223,1456660,753248,1422699,1097100,475373,1523359,186.3,4294974,1416366,1522168,3.471111111111111,0.9133333333333334,10.35,50.0,50.0,4.5,5.1,9.5,4.7,4.7,68.7,11.0,23.7,11.9,268335,3.7,1.0,30.3,49.0,39.4,60.6,1.0,19.0,80.0,8.7,7.5,77.7,11.8,0.1,9.9,27.3,25.2,23.1,99.5,99.3,13.6,2.5,99.4,99.4,96.7,87.3,10.2,95.7,49.5,93.5,72.1,31.2,80.4,100.0,186.3,62.48,628617,16.44
35,Morelia,988704,512204,476500,42869,47705,95869,48350,48437,669551,121856,117830,60392,26484,48242,22364,282888,503461,224019,279442,9910,325482,421003,136101,14664,823406,63612,1754,94137,283050,100907,979940,320079,380322,10.83,2.92,69395,281601,275432,255451,126451,277272,279363,266308,225483,42659,267080,136423,264781,179320,66084,283286,27.83,658164,268292,282788,3.61,0.9733333333333332,9.276666666666666,51.8,48.2,4.3,4.8,9.7,4.9,4.9,67.7,12.3,11.9,6.1,26484,4.9,2.3,28.6,50.9,44.5,55.5,1.0,32.9,64.0,20.7,2.2,83.3,6.4,0.2,9.5,35.6,32.7,24.5,99.6,97.4,90.3,44.7,98.0,98.8,94.2,79.7,15.1,94.4,48.2,93.6,63.4,23.4,66.6,100.1,27.83,10.83,63612,2.92
36,Moroleón-Uriangato,108755,56421,52334,4310,4525,9503,5122,5326,73461,16623,8083,4083,844,4958,4766,31470,57740,25905,31835,891,23613,15035,63169,1361,98135,4953,81,5505,31621,11480,108659,37406,42775,6.85,1.84,9033,31524,31356,29790,13924,31245,31379,30389,26675,11400,30351,10355,26664,14312,3485,31635,16.71,85075,31061,31598,3.425,0.92,8.355,51.9,48.1,4.0,4.2,8.7,4.7,4.9,67.5,15.3,7.4,3.8,844,4.6,4.4,28.9,53.1,44.9,55.1,0.8,21.7,17.7,74.3,1.6,90.2,4.6,0.1,5.1,36.3,34.4,28.6,99.8,99.2,94.3,44.1,98.9,99.3,96.2,84.4,36.1,96.1,32.8,84.4,45.3,11.0,78.2,100.0,16.71,6.85,4953,1.84
37,Mérida,1316088,677388,638700,49802,58143,115139,58887,60705,916054,167870,223031,116010,80008,72652,28621,394784,683372,294328,389044,9342,295114,739034,146068,52357,995537,176841,2757,135478,392419,134734,1313792,423632,485739,40.47,13.36,128445,389869,388032,337479,78404,381787,380733,367525,315343,120235,371108,196104,369294,255730,114861,392597,98.18,1016662,370935,392050,3.679090909090909,1.2145454545454546,8.925454545454546,51.5,48.5,3.8,4.4,8.7,4.5,4.6,69.6,12.8,16.9,8.8,80008,5.5,2.2,30.0,51.9,43.1,56.9,0.7,22.4,72.7,14.4,5.1,75.6,13.4,0.2,10.3,34.3,32.2,32.8,99.4,99.0,86.1,20.0,97.4,97.1,93.7,80.4,30.7,94.7,50.0,94.2,65.2,29.3,77.2,100.0,98.18,40.47,176841,13.36
38,Nogales,264782,132522,132260,11700,13830,29326,15464,14510,181090,21032,65709,32654,10440,9328,1928,72196,133861,56254,77607,2255,47264,168266,25355,7162,178047,39392,217,46456,78358,28048,263110,92410,90150,3.36,0.95,20539,77788,74798,59879,6722,77558,77518,75296,65122,4184,74094,36200,74826,55551,21989,78396,10.59,217031,71518,78258,3.36,0.95,10.59,50.0,50.0,4.4,5.2,11.1,5.8,5.5,68.4,7.9,24.8,12.3,10440,3.5,0.7,27.3,50.6,42.0,58.0,0.9,17.9,77.5,11.7,3.3,67.2,14.9,0.1,17.5,35.8,35.1,26.2,99.4,95.6,76.5,8.6,99.1,99.1,96.2,83.2,5.3,94.7,46.3,95.6,71.0,28.1,82.0,100.0,10.59,3.36,39392,0.95
39,Nuevo Laredo,425058,215616,209442,19573,23199,46885,23316,22714,283982,42464,123586,64692,12832,19082,6417,125838,205215,82426,122789,3405,111510,234858,50327,7497,293922,72396,359,57544,120296,38422,423829,127064,143080,3.52,0.97,35279,119687,119394,27656,5307,119126,119404,116060,101964,14804,114983,47667,110558,70540,25965,120335,9.98,312881,109890,120110,3.52,0.97,9.98,50.7,49.3,4.6,5.5,11.0,5.5,5.3,66.8,10.0,29.1,15.2,12832,4.5,1.5,29.6,48.3,40.2,59.8,0.8,26.2,75.1,16.1,2.4,69.1,17.0,0.1,13.5,31.9,30.0,29.4,99.6,99.4,23.0,4.4,99.2,99.4,96.6,84.9,12.3,95.7,39.7,92.0,58.7,21.6,73.6,100.0,9.98,3.52,72396,0.97
40,Oaxaca,709361,375752,333609,29131,35091,68076,34885,35197,481764,84348,54357,29146,16880,33173,16148,196343,368746,174430,194316,6144,261184,202909,144514,5935,519822,105608,1047,78678,193539,71769,706558,241693,246856,84.27,23.01,59055,190437,174069,172443,77886,180019,185953,168062,123933,42816,170529,89799,179794,113507,31822,193650,241.24,444289,189653,193092,3.663913043478261,1.0004347826086957,10.488695652173911,53.0,47.0,4.1,4.9,9.6,4.9,5.0,67.9,11.9,7.7,4.1,16880,4.7,2.3,27.7,52.0,47.3,52.7,0.9,36.8,45.7,32.5,1.3,73.3,14.9,0.1,11.1,37.1,34.2,30.6,98.6,90.1,89.3,40.3,93.2,96.3,87.0,64.2,22.2,88.3,46.5,93.1,58.8,16.5,62.6,100.1,241.24,84.27,105608,23.01
41,Ocotlán,184603,93984,90619,10220,10673,21290,10236,10065,117035,21733,12408,6162,3039,9925,5268,53329,87166,35403,51763,1207,49721,95587,32198,1566,172800,6836,95,4639,47706,15757,184039,57289,60467,11.91,3.24,13450,47383,46916,38401,17586,47082,47204,44484,37409,23199,44691,16364,42373,25531,7383,47734,25.88,134707,46745,47588,3.97,1.08,8.626666666666667,50.9,49.1,5.5,5.8,11.5,5.5,5.5,63.4,11.8,6.7,3.3,3039,5.4,2.9,28.9,47.2,40.6,59.4,0.7,26.9,71.0,23.9,1.2,93.6,3.7,0.1,2.5,33.0,31.1,28.3,99.6,98.6,80.7,37.0,98.9,99.2,93.5,78.6,48.7,93.9,34.4,89.0,53.7,15.5,73.0,100.1,25.88,11.91,6836,3.24
42,Orizaba,465175,245492,219683,19012,21861,46689,23833,24689,308053,65949,30691,17168,7036,24229,22144,158400,213425,90039,123386,5019,128409,189186,114157,7998,391391,53658,386,19409,131762,47425,464602,152433,155016,48.48,14.51,48082,130741,127027,87890,25871,122250,126286,103691,81787,30356,119615,44347,112266,61153,18729,131802,113.82,336620,125204,131605,3.729230769230769,1.116153846153846,8.755384615384616,52.8,47.2,4.1,4.7,10.0,5.1,5.3,66.2,14.2,6.6,3.7,7036,5.2,4.8,34.1,45.9,42.2,57.8,1.1,27.6,56.2,33.9,2.4,84.1,11.5,0.1,4.2,36.0,32.8,36.5,99.3,96.5,66.8,19.7,92.9,96.0,78.8,62.1,23.1,90.9,33.7,85.3,46.5,14.2,72.4,100.0,113.82,48.48,53658,14.51
