NAME_ZM,URL_PATH
Tijuana,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tijuana.png
Tlaxcala-Apizaco,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tlaxcala-Apizaco.png
Toluca,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Toluca.png
Tula,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tula.png
Tulancingo,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tulancingo.png
Tuxtla Gutiérrez,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Tuxtla%20Guti%C3%A9rrez.png
Valle de México,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Valle%20de%20M%C3%A9xico.png
Veracruz,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Veracruz.png
Villahermosa,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Villahermosa.png
Xalapa,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Xalapa.png
Zacatecas-Guadalupe,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Zacatecas-Guadalupe.png
Zamora,https://github.com/fdealbam/0entrada/blob/main/application/static/mapas/map_Zamora.png
